id,direction,start_price,close_price,start_time,close_time,decision
8522,down,1.0611800000,1.0586800000,2016-11-18 00:26:59,2016-11-18 01:29:23,up
8523,up,1.0586800000,1.0611800000,2016-11-18 01:29:23,2016-11-18 07:09:27,down
8524,down,1.0611800000,1.0586800000,2016-11-18 07:09:27,2016-11-18 07:30:14,up
8525,up,1.0586800000,1.0611800000,2016-11-18 07:30:14,2016-11-18 08:11:21,down
8526,down,1.0611800000,1.0586800000,2016-11-18 08:11:21,2016-11-18 08:18:20,up
8527,up,1.0586800000,1.0611800000,2016-11-18 08:18:20,2016-11-18 09:40:26,down
8528,up,1.0611800000,1.0636800000,2016-11-18 09:40:26,2016-11-18 12:49:00,down
8529,down,1.0636800000,1.0611800000,2016-11-18 12:49:00,2016-11-18 13:49:27,down
8530,down,1.0611800000,1.0586800000,2016-11-18 13:49:27,2016-11-18 15:34:41,up
8531,up,1.0586800000,1.0611800000,2016-11-18 15:34:41,2016-11-21 01:40:18,up
8532,up,1.0611800000,1.0636800000,2016-11-21 01:40:18,2016-11-21 08:28:13,down
8533,down,1.0636800000,1.0611800000,2016-11-21 08:28:13,2016-11-21 14:19:15,down
8534,up,1.0611800000,1.0636800000,2016-11-21 14:19:15,2016-11-21 21:15:25,down
8535,down,1.0636800000,1.0611800000,2016-11-21 21:15:25,2016-11-22 07:13:27,down
8536,up,1.0611800000,1.0636800000,2016-11-22 07:13:27,2016-11-22 08:34:21,down
8537,down,1.0636800000,1.0611800000,2016-11-22 08:34:21,2016-11-22 12:45:37,down
8538,down,1.0611800000,1.0586800000,2016-11-22 12:45:37,2016-11-22 15:34:19,up
8539,up,1.0586800000,1.0611800000,2016-11-22 15:34:19,2016-11-22 16:10:32,down
8540,up,1.0611800000,1.0636800000,2016-11-22 16:10:32,2016-11-22 17:11:06,down
8541,down,1.0636800000,1.0611800000,2016-11-22 17:11:06,2016-11-22 18:43:19,down
8542,up,1.0611800000,1.0636800000,2016-11-22 18:43:19,2016-11-23 06:47:44,down
8543,down,1.0636800000,1.0611800000,2016-11-23 06:47:44,2016-11-23 08:31:50,down
8544,down,1.0611800000,1.0586800000,2016-11-23 08:31:50,2016-11-23 13:30:15,up
8545,down,1.0586800000,1.0561800000,2016-11-23 13:30:15,2016-11-23 13:40:26,up
8546,down,1.0561800000,1.0536800000,2016-11-23 13:40:26,2016-11-23 15:14:43,up
8547,up,1.0536800000,1.0561800000,2016-11-23 15:14:43,2016-11-23 16:37:56,up
8548,down,1.0561800000,1.0536800000,2016-11-23 16:37:56,2016-11-24 00:12:01,up
8549,up,1.0536800000,1.0561800000,2016-11-24 00:12:01,2016-11-24 08:43:24,up
8550,up,1.0561800000,1.0586800000,2016-11-24 08:43:24,2016-11-25 07:06:33,up
8551,up,1.0586800000,1.0611800000,2016-11-25 07:06:33,2016-11-25 08:37:44,up
8552,down,1.0611800000,1.0586800000,2016-11-25 08:37:44,2016-11-25 09:42:32,up
8553,up,1.0586800000,1.0611800000,2016-11-25 09:42:32,2016-11-25 14:08:14,up
8554,down,1.0611800000,1.0586800000,2016-11-25 14:08:14,2016-11-25 19:58:09,up
8555,up,1.0586800000,1.0611800000,2016-11-25 19:58:09,2016-11-28 00:08:41,up
8556,up,1.0611800000,1.0636800000,2016-11-28 00:08:41,2016-11-28 01:15:37,down
8557,up,1.0636800000,1.0661800000,2016-11-28 01:15:37,2016-11-28 02:16:17,down
8558,down,1.0661800000,1.0636800000,2016-11-28 02:16:17,2016-11-28 10:01:29,down
8559,down,1.0636800000,1.0611800000,2016-11-28 10:01:29,2016-11-28 11:27:11,down
8560,down,1.0611800000,1.0586800000,2016-11-28 11:27:11,2016-11-28 12:35:59,up
8561,up,1.0586800000,1.0611800000,2016-11-28 12:35:59,2016-11-28 21:37:01,up
8562,down,1.0611800000,1.0586800000,2016-11-28 21:37:01,2016-11-29 09:12:00,up
8563,up,1.0586800000,1.0611800000,2016-11-29 09:12:00,2016-11-29 15:10:29,up
8564,up,1.0611800000,1.0636800000,2016-11-29 15:10:29,2016-11-29 18:03:37,down
8565,up,1.0636800000,1.0661800000,2016-11-29 18:03:37,2016-11-30 09:01:19,down
8566,down,1.0661800000,1.0636800000,2016-11-30 09:01:19,2016-11-30 09:57:43,down
8567,up,1.0636800000,1.0661800000,2016-11-30 09:57:43,2016-11-30 11:16:27,down
8568,down,1.0661800000,1.0636800000,2016-11-30 11:16:27,2016-11-30 12:17:56,down
8569,down,1.0636800000,1.0611800000,2016-11-30 12:17:56,2016-11-30 14:07:58,up
8570,down,1.0611800000,1.0586800000,2016-11-30 14:07:58,2016-11-30 15:09:35,up
8571,up,1.0586800000,1.0611800000,2016-11-30 15:09:35,2016-11-30 15:38:18,down
8572,down,1.0611800000,1.0586800000,2016-11-30 15:38:18,2016-11-30 16:03:54,up
8573,down,1.0586800000,1.0561800000,2016-11-30 16:03:54,2016-11-30 16:17:08,up
8574,up,1.0561800000,1.0586800000,2016-11-30 16:17:08,2016-11-30 16:52:31,up
8575,up,1.0586800000,1.0611800000,2016-11-30 16:52:31,2016-12-01 05:24:49,up
8576,up,1.0611800000,1.0636800000,2016-12-01 05:24:49,2016-12-01 09:59:56,down
8577,down,1.0636800000,1.0611800000,2016-12-01 09:59:56,2016-12-01 14:23:43,up
8578,down,1.0611800000,1.0586800000,2016-12-01 14:23:43,2016-12-01 15:24:12,up
8579,up,1.0586800000,1.0611800000,2016-12-01 15:24:12,2016-12-01 15:58:52,up
8580,up,1.0611800000,1.0636800000,2016-12-01 15:58:52,2016-12-01 18:57:26,down
8581,up,1.0636800000,1.0661800000,2016-12-01 18:57:26,2016-12-01 20:58:09,down
8582,up,1.0661800000,1.0686800000,2016-12-01 20:58:09,2016-12-02 04:00:56,down
8583,down,1.0686800000,1.0661800000,2016-12-02 04:00:56,2016-12-02 08:33:09,down
8584,down,1.0661800000,1.0636800000,2016-12-02 08:33:09,2016-12-02 10:22:56,down
8585,up,1.0636800000,1.0661800000,2016-12-02 10:22:56,2016-12-02 13:30:02,down
8586,down,1.0661800000,1.0636800000,2016-12-02 13:30:02,2016-12-02 13:38:45,down
8587,up,1.0636800000,1.0661800000,2016-12-02 13:38:45,2016-12-02 15:10:11,up
8588,down,1.0661800000,1.0636800000,2016-12-02 15:10:11,2016-12-04 22:00:11,down
8589,down,1.0636800000,1.0611800000,2016-12-04 22:00:11,2016-12-04 22:00:30,down
8590,down,1.0611800000,1.0586800000,2016-12-04 22:00:30,2016-12-04 22:10:32,down
8591,down,1.0586800000,1.0561800000,2016-12-04 22:10:32,2016-12-04 22:41:44,down
8592,down,1.0561800000,1.0536800000,2016-12-04 22:41:44,2016-12-04 22:57:41,up
8593,up,1.0536800000,1.0561800000,2016-12-04 22:57:41,2016-12-04 23:00:19,up
8594,up,1.0561800000,1.0586800000,2016-12-04 23:00:19,2016-12-04 23:00:22,up
8595,down,1.0586800000,1.0561800000,2016-12-04 23:00:22,2016-12-04 23:00:51,down
8596,down,1.0561800000,1.0536800000,2016-12-04 23:00:51,2016-12-04 23:09:48,up
8597,down,1.0536800000,1.0511800000,2016-12-04 23:09:48,2016-12-04 23:21:57,up
8598,up,1.0511800000,1.0536800000,2016-12-04 23:21:57,2016-12-04 23:29:16,up
8599,up,1.0536800000,1.0561800000,2016-12-04 23:29:16,2016-12-04 23:33:49,up
8600,down,1.0561800000,1.0536800000,2016-12-04 23:33:49,2016-12-04 23:38:53,up
8601,up,1.0536800000,1.0561800000,2016-12-04 23:38:53,2016-12-04 23:54:21,up
8602,up,1.0561800000,1.0586800000,2016-12-04 23:54:21,2016-12-04 23:58:21,up
8603,down,1.0586800000,1.0561800000,2016-12-04 23:58:21,2016-12-05 00:00:52,up
8604,up,1.0561800000,1.0586800000,2016-12-05 00:00:52,2016-12-05 00:06:00,up
8605,down,1.0586800000,1.0561800000,2016-12-05 00:06:00,2016-12-05 00:19:59,up
8606,up,1.0561800000,1.0586800000,2016-12-05 00:19:59,2016-12-05 07:14:38,up
8607,up,1.0586800000,1.0611800000,2016-12-05 07:14:38,2016-12-05 07:31:38,up
8608,up,1.0611800000,1.0636800000,2016-12-05 07:31:38,2016-12-05 08:15:09,up
8609,up,1.0636800000,1.0661800000,2016-12-05 08:15:09,2016-12-05 08:41:25,up
8610,down,1.0661800000,1.0636800000,2016-12-05 08:41:25,2016-12-05 08:59:55,up
8611,up,1.0636800000,1.0661800000,2016-12-05 08:59:55,2016-12-05 11:14:07,up
